account_id,customer_id,account_type,balance_usd,open_date
ACCOD48PUCAEHKH,CUSAEOACKBH8CK6,Checking,182700.46,2021-03-27
ACCU2DMTSOYD5R6,CUSKI0ABUBGCLFD,Savings,57886.71,2019-10-21
ACCXFI6TF26FL9B,CUSWXG0ESCUG77M,Business,68774.44,2019-02-15
ACCJ6SUS4ZI6BRT,CUSUTT52LK3TW0J,Business,67015.68,2021-10-30
ACCNP7JE3AQW8TG,CUSNUWQT2EXWNSC,Savings,67265.67,2023-12-05
ACCDWXIMEPJEK1M,CUS9YL8T9J6JVFB,Savings,68975.59,2024-04-07
ACCZT96PKCU0WD9,CUSDMISW804XPRO,Business,180076.81,2021-12-19
ACCXTK5RZJLV6C4,CUSSI6L5SODYNTG,Savings,113502.83,2022-01-01
ACCEG7CN1W6R987,CUSBQNS6ND3E3D8,Checking,52092.2,2024-11-12
ACC44HPKAAOS2L0,CUSA9P9URVI8PJ6,Checking,164330.33,2025-09-29
ACCOWHP5V1N5VQM,CUSXPAWQPOE9FWC,Savings,198043.33,2021-06-24
ACC1D2HNX6HO69T,CUS6YIWDS2SLR4E,Savings,19610.13,2020-05-18
ACCDKHW1CXE23B5,CUS0PPK97WJSNDA,Business,44005.46,2021-05-15
ACCLHRDEDFIU9S4,CUS3WZN1J3OBFIV,Checking,194333.08,2019-03-12
ACCR6HQ7LR4KF7U,CUSEYPA6FVBD9S2,Savings,16309.13,2024-04-03
ACCVJERQRLFTYPI,CUSIYHG2C1W6RSP,Business,139304.21,2021-01-14
ACC002AUZUVJU9K,CUSUI060YGC5RCB,Savings,96707.39,2022-03-15
ACC52QM86RP4TAL,CUS1RHVKYRTP2GU,Business,79825.14,2025-05-24
ACCW9N21DU90SVJ,CUSK7K0H4F3JWB2,Checking,67126.79,2019-06-13
ACCXY8RA0CED26D,CUSSA3G8BWB1CNY,Checking,150364.29,2019-05-08
ACC706H65I4BUTI,CUSQ72UJZ8UIE1J,Business,3906.93,2020-01-11
ACCAK64H9ES1M0W,CUS3N3HHAJ8FONU,Business,197941.35,2022-08-05
ACCNRF7QS9FRPSA,CUSOLSHGAPORVGD,Business,144304.15,2024-03-09
ACCTN233UX8AOD8,CUSZAJ7F3MJZ8D5,Business,63365.19,2020-01-13
ACCTOIKQFWGFAMB,CUS5R0WPTIY10Q0,Checking,4815.95,2020-09-15
ACCIC06C6N07M5N,CUSW5UCM54GOHU5,Checking,67819.33,2019-04-13
ACCNRLXJO9QEHE0,CUS6MRCUK6HKBXB,Savings,181419.77,2025-10-06
ACCD5UTIAN7AKKR,CUSWQQRDU9YFR1G,Business,60838.57,2019-03-28
ACCJXRDQQOBYYBG,CUSBQI3NMH16AFD,Checking,173794.2,2020-06-08
