card_id,account_id,card_type,expiration_date
CRD9DMMMTJDQT3V,ACC32AXBRYBVYAR,Debit,2/7/2032
CRD94590WYP462W,ACC2WKDTIPM83SK,Credit,3/14/2030
CRDB79THXNR6SGQ,ACCPZTJ2AUNVBRX,Credit,12/17/2026
CRDG81QQ58532B9,ACCV78E7JOA2O54,Debit,10/21/2029
CRD7RTUV3VVPJ60,ACCS8PHD7QLVC4L,Credit,2/5/2028
CRDV7L5SGAX2NFN,ACCRTI0QB8SGMN7,Debit,1/17/2029
CRDBB3GBBY3NO24,ACC21DY2JK3VXZM,Credit,6/8/2027
CRDG47ST4S3TPWT,ACCPX62AB27CICC,Credit,1/22/2030
CRDLNUHITN6T0NH,ACCQJ5QJXSLNR83,Debit,11/5/2030
CRDZIWYPTVT8SQQ,ACC4CRGBNY9WQTQ,Debit,3/11/2028
CRDWCZVIQTBMEL0,ACCQXERKPM88XVJ,Debit,9/29/2025
CRDM17TP1ZPX7SU,ACCTUQ7NOGCY4T5,Debit,5/30/2030
CRDORH8XZKG0YC8,ACC8C3RHZSL13FT,Credit,2/14/2029
CRDLJK8SM9MAEGX,ACCRE9O4Q9B802G,Credit,1/13/2027
CRDIHUBOZLF74C6,ACCZ8VW6Z4XDMP2,Credit,3/15/2030
CRDYO5B89I7CR9C,ACCWV5VPX5UWQ5O,Credit,6/29/2028
CRD49VF5THJPEO7,ACCV4X2ZMF54C6P,Credit,4/27/2029
CRD0CIPC3RJ1N1J,ACCX5882VDOMC94,Credit,3/25/2026
CRD4QXHWC2NO5U7,ACCNC98PNDSVMHY,Debit,1/17/2030
CRDF8AAYJQQVQ0F,ACCJ06RV2PGH993,Debit,4/21/2027
CRDGXGFKMUGPYJ1,ACCAWJPD5IFBKV1,Debit,6/4/2031
CRD53U15SD4H5N5,ACCW4SJT7MV7MRJ,Credit,9/30/2029
CRDWP54GBMDYK5D,ACCKR5K66VVY5NY,Credit,5/22/2029
CRDPRCF9RVIR843,ACCNT6XV3FGWRTR,Credit,10/10/2025
CRDIZI2FLBGAZ3T,ACCXHPEWKNVVICK,Credit,12/22/2031
CRDLCAYYI56OUNU,ACCEEEWHRN2N687,Debit,2/4/2032
CRDYLA9GVWGNRQH,ACCT8S5O8SBKYR5,Debit,9/25/2029
CRD7Y1Y6V26YBDG,ACCACUY7YQ9124E,Credit,7/22/2027
CRD5RPE9VRP8ELX,ACC1WBKR7HJULM0,Credit,1/13/2032
CRD90QLML0YITTZ,ACCJLE0NZMS50RO,Credit,5/3/2032
CRDH6TBYNNUQFGU,ACCID40KXF4N0H7,Credit,9/12/2029
CRDH2TPIM2QKQM5,ACCY03HO24RO972,Debit,5/10/2025
CRDOO6S3WRAKHY8,ACCPD8Z3B6QV769,Credit,1/21/2029
CRD2V04844W8JHD,ACCFR643JOQDV82,Debit,8/20/2026
CRDUDHP50UW0EZN,ACCT1UWUQH6CXM3,Debit,10/19/2027
CRD2Z6BVFUYE598,ACCVM2AU0KPJTWH,Credit,3/23/2031
CRDXO88UG10T3KM,ACCAOGC2QATC6AB,Debit,2/19/2031
CRDDLW878POO5EO,ACCS42JLX2TASLP,Debit,5/18/2026
CRDGUA8BNHFD0KG,ACCREML0JXIJMCY,Credit,9/2/2029
CRD46G8DCHE4ZDA,ACC2JOE96QR2CGS,Credit,7/24/2031
CRDRTYUGKDU2TBD,ACCLZ7K2A6DHO1W,Credit,12/25/2031
CRDMD7AWIC48EM9,ACCS8FNRWMW5754,Credit,7/13/2030
CRDUGSQF31K0JUS,ACC4CE6HNCGFIYV,Credit,7/4/2030
CRD2XE7P9D9JU33,ACCZDVJ6394KYG4,Credit,3/25/2030
CRDL9H6WR0EQTK6,ACCXGP1W3ADGO47,Credit,8/19/2032
CRDYTQQOPP8FQ2V,ACC35RV2QEPHNDH,Credit,1/14/2028
CRDDW5INO0WHBH4,ACC7G87QIO5WVM9,Credit,7/17/2025
CRDSLTQS2NKM63T,ACCR7Z3XI9OY1V3,Credit,5/21/2031
CRDJKAQYW8D2KHQ,ACCOKNB5IZ9J3LG,Debit,1/7/2025
CRDH8W8QDZR51A0,ACCG58YY1TWO8RP,Debit,9/9/2025
CRDZ7FZVFL0BDS2,ACCBK21WPDTTKTW,Credit,1/28/2031
CRD6HUSS3TR26K3,ACCH34TNNPQEWBM,Debit,7/19/2029
CRD00F10HSFV9AU,ACCV3VJHZOS1UUV,Credit,4/6/2031
CRD3ZCEWNYQEN87,ACC3P9UMEYQ92P5,Debit,1/11/2031
CRD3G08L9JEO2YO,ACCEOEPAW0JQ8SW,Debit,11/10/2025
CRDMRTQ8SU48V8L,ACCJ68U2QXV02JL,Credit,1/24/2032
CRD60N406S4ITW6,ACC9MMY8W9D7NQM,Credit,12/1/2028
CRDFWLRVFUCWCPH,ACC0UE9WCDUVTW2,Credit,1/4/2030
CRDQW29AIFARF8Q,ACCEJLQ54IJP1ZI,Debit,12/10/2032
CRDM8DT5OFKZVTQ,ACCI0VVQYOKYEUJ,Credit,6/28/2028
CRDYRKUW5SY53CA,ACC5HSCHFBRWIVE,Credit,7/13/2027
CRD8AFOD9TVYDYJ,ACCAF1OKPP89GQ9,Credit,4/7/2028
CRDLX0DATKTQHOC,ACCN80T79GVLFVL,Credit,11/9/2026
CRDTOLPETQ3YSML,ACCB69KSM40OYHA,Debit,8/4/2026
CRDNRJ5ALZ658TN,ACC013HSWS4RMKO,Debit,7/9/2025
CRD06BYBSVK5S9Q,ACCYA1QKDCSH1NW,Credit,7/7/2027
CRDGFQG3EHZ0SEH,ACC9M4I2EK6364P,Credit,10/29/2028
CRD2GM09OWB39L0,ACCS5R0TCI1UI6X,Debit,2/11/2032
CRDW8K2GEJFXFDC,ACC11CMN41I9MRJ,Credit,11/29/2030
CRD00BO8C13SIT4,ACC1RPVMA4JLM65,Credit,11/8/2032
CRDYKCXN913E6CN,ACCXBVMRV21TYKB,Credit,2/16/2030
CRDN81JGCVFGA5L,ACCM8JAE670JWBL,Debit,6/12/2030
CRD7KAFDAMY812U,ACCGG4EGQ93XLQZ,Credit,5/31/2029
CRD8YGAYCWF2HSO,ACCZ7H1ET1S9KDT,Debit,4/20/2032
CRDY43589QUSHVI,ACC4NL27KIOWXBV,Debit,2/13/2027
CRDS2B8OP9XMGZR,ACCBXMX9M7B8HFH,Debit,6/21/2026
CRDQB6JK3P5HD01,ACCCI6HTJ0X4UY3,Debit,9/24/2027
