customer_id,first_name,last_name,email,city,credit_score,created_at
CUSXAJI0Y6DPBHS,Kevin,Young,brauncameron@example.net,North Williamville,327,4/17/2025
CUSHXTHV3A3ZMF8,Jason,Clements,toddwilliam@example.net,Martinezside,644,2/23/2020
CUSDD4V30T9NT3W,Randy,Thompson,trevoranderson@example.org,Gallowayfurt,670,6/22/2025
CUSGCX1945NQ4FM,Laura,Phillips,valdezgeorge@example.com,Morrisview,573,10/20/2019
CUSVG0FN9XUY41I,Savannah,Swanson,smithluis@example.com,Lake Anna,332,7/16/2022
CUSOC6UZHR5XFF0,Ashley,Wang,reesekendra@example.com,Amybury,569,7/22/2025
CUSPVN9ER14FFYV,Morgan,Miller,narnold@example.org,New Javierbury,694,4/13/2023
CUSVQJT7YE511MK,David,Cabrera,heidi41@example.net,West Michelle,461,2/2/2024
CUSAZZ81SDW4SHN,Alicia,Rivera,debrawarren@example.com,West Laura,465,1/18/2025
CUS877VREN93IIU,Ashley,Hoffman,dstuart@example.org,South Jennifer,380,12/17/2019
CUS039TEX8FSV87,Joshua,Andrade,russellbanks@example.com,Davidstad,505,6/30/2022
CUSOYN6QICATVAZ,Sonia,Patel,ggutierrez@example.net,West Christopherfort,360,7/26/2021
CUSCBLSKRT05UIR,Vanessa,Gonzalez,mortonrichard@example.com,Markside,716,2/18/2021
CUSDXMO5BXXC02D,Maureen,Bruce,iowen@example.com,North Stacy,496,2/18/2021
CUSTFGQ5C34DXTA,Maria,Johnson,travisgonzalez@example.net,Melaniehaven,395,8/26/2021
CUSFRHOCN9J2QP8,Teresa,Craig,rayjonathan@example.org,Richardstad,798,9/26/2020
CUSGHC0CLBR7TCS,Douglas,Ferguson,lgonzalez@example.com,Richardberg,490,10/8/2019
CUSVYIE6IVWPVS7,Kirsten,Knight,stephen09@example.org,Lake Andreaburgh,509,7/10/2022
CUSIOYKL1CQ99CH,Kevin,Clark,nathanmeyer@example.net,Murraychester,571,6/26/2020
CUS755NF4ZW9XA3,Tracy,Marks,terrelledward@example.net,Juarezport,606,2/29/2020
CUS7EEDTJVZHWJR,Nancy,Hall,jacob17@example.com,Leslieville,352,1/14/2020
CUSW3BME9FPZUE8,Sarah,Armstrong,williamsbrent@example.com,North Georgefort,452,2/12/2025
CUSBNTPBN78BMYY,Michael,West,juliepowell@example.org,Pricehaven,662,4/12/2025
CUS5OWF75935A0L,Tyler,Cherry,charlesstephenson@example.net,Lake Allisonshire,721,10/13/2021
CUSJ2D54I3QK2IA,Brian,Ferrell,copelanderin@example.com,Frederickshire,497,6/21/2023
CUSL58KXO9T7E8G,Dawn,Wagner,stevenkeller@example.org,Vanessahaven,571,6/6/2019
CUSDP0LVSNUJZA7,Tyler,Martinez,hjones@example.org,Chadport,501,1/31/2023
CUSP87WXE6SYLZT,Robert,Nguyen,barretthailey@example.net,Lake Kathryn,496,9/19/2023
CUSXN0GUO4KH2VL,Patrick,Villanueva,sarahperez@example.com,Port Tammieshire,752,12/17/2023
CUSYS280XKXWD8I,Deborah,Cunningham,richardrodriguez@example.com,East Christopher,617,7/9/2021
CUS3FB9W1Q5UZNO,Brian,Zhang,randyolson@example.com,North Blaketown,451,1/23/2019
CUS6452H2ZQU7EE,Robert,Brown,wgoodman@example.org,Lake Victoria,775,12/15/2024
CUS9V86WZS3T60R,Kyle,Lewis,fritzsteven@example.org,Taylorborough,565,10/9/2021
CUS4J1RIPZIM6CF,Tracy,Leonard,stephaniescott@example.com,Lanefurt,692,9/17/2020
CUSZCOTOHP6VZ41,Kimberly,Brock,sandy88@example.net,Jesusview,689,5/7/2024
CUSAM148P0TVHHP,Kimberly,Hardy,stanleykevin@example.com,Whitestad,329,5/12/2023
CUSMYOFQEWAOUAX,Emily,Rodriguez,hmcguire@example.net,Port Mollyfort,438,3/6/2024
CUSGJLQM5K8P4Q0,Megan,Williams,barrybrewer@example.org,Thomasmouth,353,12/4/2022
CUSIC8BBI4WIRE8,Kelly,Robinson,christopher22@example.net,Bennettport,776,11/15/2021
CUS1GV0E38DALY8,Mark,Vega,franktina@example.net,Andreafurt,706,3/23/2021
CUSCYWD14VE92MP,Elizabeth,Valentine,rmooney@example.org,Port Joelfurt,679,10/10/2019
CUSSM43D8W3ZP08,Isaac,Hernandez,jay20@example.com,New Stevenstad,576,11/27/2025
CUS3TRP0J43D5IQ,Mike,Allen,gutierrezlaura@example.net,Palmerside,688,10/9/2022
CUSB4GH2M5ZJA8D,Dawn,Lang,riverakatherine@example.com,New Melissa,716,6/24/2024
CUSTIRZQAKOIXNT,Rebecca,Wilson,rhonda02@example.net,East Marilyn,652,10/9/2023
CUS9TMQLIZL08YG,David,Payne,stewartsharon@example.org,New Damon,795,2/6/2022
CUS09SKDGIGATJ9,Alex,Roth,rperez@example.com,Lake Laura,599,6/1/2020
CUSW1DAKRM8J5EC,James,Villarreal,camposjames@example.org,South Alyssachester,803,10/31/2019
CUSUYF38DIUOVW1,Crystal,Garcia,ramseycourtney@example.org,Downsbury,689,1/20/2024
CUS6KVPUC8D1WJC,Tyler,Richardson,vkelley@example.net,Bowenberg,545,12/12/2020
CUSTFOYQBKK4CIJ,Jill,Rodgers,ljordan@example.net,Christineside,502,10/8/2023
CUSEIFJFC2V37PQ,Raymond,Spears,vflores@example.net,North Hannah,611,7/7/2023
CUS7SRCBPLJD84U,Troy,Stafford,katrina74@example.org,South Barbara,321,1/8/2022
CUSU1GSPK9P38QO,Mark,Allen,browncaitlin@example.org,New Hayley,628,3/4/2020
CUS4LYK83TQLL8O,Emily,Gibson,wilsoncatherine@example.net,Tracyview,826,1/5/2019
CUSXTOGN1W1HT7P,Lori,Moses,jessebarr@example.org,Port Jessica,796,5/12/2020
CUSBW2ZLAOI4E8X,James,Edwards,dianamayo@example.net,Jenniferton,457,8/3/2024
CUS7KZORQQFGV0E,Jessica,Elliott,qharper@example.net,Smithton,371,2/5/2022
CUS14M2JA04UX5Q,Lisa,Webb,deanjulia@example.net,Torresborough,795,11/14/2022
CUSL1N759IN4OLR,Cindy,Brown,manninglaura@example.com,Jessefort,690,5/1/2023
CUS92XF8E8LD4D6,Jacob,Petersen,vwood@example.com,Donnaburgh,315,8/13/2020
CUSOXFQ8MYX444N,Lauren,Stanley,omartinez@example.net,East Donna,624,6/21/2024
CUS5BCW790PDW5P,George,Oliver,moraleschristopher@example.com,Lake Tiffany,606,4/29/2019
CUSB2KNFTU2GC5W,Kylie,Martinez,rodriguezanne@example.com,Christianport,546,7/31/2024
CUS6FQJJA26YFPM,Wendy,Cordova,shawnherrera@example.com,Armstrongside,606,10/4/2023
